"categoria","subcategoria","empresa","pais_o_region","rol","relacion_para_nueva_empresa","prioridad","url","nota_verificada"
"Contratista","Rehabilitación y densificación","BECOSAN","Europa / España","Competidor directo y sistema de referencia","Benchmark de marca, método, contenido y red; posible competidor","Alta","https://www.becosan.com/","Ofrece reparación, preparación, pulido, densificación y sellado"
"Contratista","Pulido y litio","Luvimar","España","Especialista regional/nacional","Competidor, subcontratista o referencia de precio","Alta","https://luvimar.es/","Comunica tratamiento con litio y pulido de hormigón"
"Contratista","Pulido y preparación","TRC Paint","España","Aplicador de tratamientos y revestimientos","Competidor local y referencia de oferta","Media","https://trcpaint.com/servicios/pulidos-y-abrillantados/","Publica servicio de pulido y abrillantado"
"Contratista","Pavimento industrial","Efacta","España","Contratista multisistema","Competidor y referencia de cartera","Alta","https://efacta.es/","Presenta soluciones de pavimento industrial"
"Contratista","Tratamiento de hormigón","Soleras UP","España","Especialista en hormigón tratado","Competidor SEO y comercial","Alta","https://www.tratamientohormigon.es/","Comunica cobertura nacional; validar cifras antes de compararlas"
"Contratista","Pavimentos continuos","Durasil","España","Aplicador de sistemas industriales","Competidor y posible capacidad complementaria","Media","https://www.durasil.com/","Cartera de soluciones para pavimentos"
"Contratista","Litio y rehabilitación","PIMED","España","Contratista de pavimentos","Competidor regional y referencia técnica","Media","https://pimed.es/tratamiento-de-litio-en-pavimento-nave-industrial/","Publica tratamiento de litio para naves"
"Contratista","Hormigón y superficies","Dialcon / Dialfloor","España","Contratista especializado","Competidor y benchmark de presentación comercial","Media","https://dialcon.com/","Dispone de dossier específico Dialfloor"
"Contratista","Pavimentos continuos","Aplifort","España","Aplicador de pavimento industrial","Competidor regional","Media","https://pavimentosaplifort.com/","Web oficial de servicios de pavimentos"
"Contratista","Preparación y reparación","Grupo Pavin","España","Contratista multisistema","Competidor y posible socio de obra","Alta","https://pavin.es/preparacion-y-reparacion/","Publica preparación y reparación de soportes"
"Contratista","Reparación","Unifort","España","Especialista en reparación","Competidor y referencia de patologías","Alta","https://www.unifort.es/servicios/reparacion-de-pavimentos/","Publica reparación de pavimentos"
"Contratista","Pulido de hormigón","Superpul","España","Especialista de superficie","Competidor regional","Media","https://superpul.es/","Web oficial del especialista"
"Contratista","Pavimentos industriales","Troya Grupo","España","Contratista multisistema","Competidor regional","Media","https://www.troyagrupo.com/","Web corporativa oficial"
"Contratista","Hormigón pulido","HormiSolDecor","España","Especialista de hormigón","Competidor local y residencial/industrial adyacente","Baja","https://www.hormisoldecor.es/hormigon-pulido/","Publica servicio de hormigón pulido"
"Contratista","Pavimentos continuos","Pavindus","España","Empresa miembro del ecosistema AEPC","Competidor y referencia asociativa","Media","https://pavindus.com/","Validar alcance y cobertura en siguiente oleada"
"Contratista","Pavimentos continuos","Sisrecon","España","Aplicador de epoxi, PU-cemento y sistemas sanitarios","Competidor regional y referencia en alimentación","Alta","https://sisrecon.com/","Web oficial revisada; actividad desde 1995 según la empresa"
"Contratista","Pavimentos de hormigón","Bobeton","España","Contratista de hormigón","Competidor en nueva solera/acabado","Media","https://bobeton.es/","Validar capacidad exacta y geografía"
"Contratista","Hormigón decorativo e industrial","Paviprint","España","Aplicador de sistemas cementosos","Competidor adyacente","Baja","https://www.paviprint.com/","Fabricación y aplicación vinculada a pavimentos"
"Contratista","Sistemas cementosos","Pavistamp","España","Fabricante y red de aplicación","Proveedor, prescriptor o competidor indirecto","Media","https://www.pavistamp.com/","Cartera de sistemas de pavimento"
"Contratista","Rehabilitación de hormigón","MKZ Construction","Reino Unido / Europa","Especialista en reparación y tratamiento","Benchmark europeo y posible socio geográfico","Alta","https://www.mkzconstructionlimited.com/","Web oficial de contratista especializado"
"Contratista","Pavimento industrial","GB Flooring","Reino Unido","Contratista industrial","Benchmark regional","Media","https://industrialfloorcontractors.co.uk/","Contratista de pavimentos industriales"
"Contratista","Rehabilitación de almacenes","Warehouse Flooring Solutions","Reino Unido","Especialista de almacenes","Benchmark de oferta por problema","Alta","https://warehouseflooringsolutions.co.uk/services/","Servicios para pavimentos de almacén"
"Contratista","Resinas y reparación","Respol","Reino Unido","Contratista de resinas industriales","Benchmark en sistemas de resina","Media","https://industrialflooring.co.uk/","Web corporativa oficial"
"Contratista","Rectificado y reparación","Flat Solutions","Francia","Especialista en planimetría y rehabilitación","Competidor/partner europeo","Alta","https://www.flat-solutions.fr/","Especialista francés de pavimentos industriales"
"Contratista","Pulido y rectificado","Flat Ponçage","Francia","Especialista de superficie","Competidor/partner europeo","Media","https://www.flat-poncage.fr/","Web oficial"
"Contratista","Preparación, resina y pulido","TCI Synergie / Terra-Clean","Francia","Especialista de tratamiento superficial","Competidor adyacente y benchmark regional","Media","https://tcisynergie.fr/","Terra-Clean comunica su cambio de nombre a TCI Synergie"
"Contratista","Hormigón pulido","tri|B","Alemania","Especialista de suelos de hormigón","Benchmark técnico europeo","Alta","https://www.tri-b.de/","Web oficial"
"Contratista","Rectificado y pulido","EBALAN","Alemania","Especialista de tratamiento de hormigón","Benchmark técnico europeo","Media","https://beton-boeden.de/schleifen-polieren.html","Publica rectificado y pulido"
"Contratista","Pavimento industrial","Sinnofloor","Alemania","Contratista multisistema","Benchmark regional","Media","https://www.sinnofloor.com/","Web oficial"
"Contratista","Hormigón industrial","RPG Betonboden","Alemania","Contratista de suelos de hormigón","Competidor en nueva solera y acabado","Media","https://www.betonbodengmbh.de/","Web oficial"
"Contratista","Tecnología de pavimentos","BSB Bodentechnik","Alemania","Contratista especializado","Benchmark regional","Media","https://www.bsb-bodentechnik.de/","Web oficial"
"Contratista","Rehabilitación industrial","Industriebodensanierung 24","Alemania","Especialista en rehabilitación","Benchmark de captación por problema","Media","https://industriebodensanierung-24.de/","Web oficial"
"Ingeniería y contratista","Planimetría y VNA","CoGri Group","Global / Europa","Grupo especialista en suelos para logística","Principal benchmark en medición, diseño y corrección","Muy alta","https://cogrigroup.com/","Grupo con consultoría, diseño, construcción y rehabilitación"
"Ingeniería y ensayo","Medición y consultoría","Face Consultants","Global / Europa","Consultor y laboratorio especializado","Benchmark; posible socio o competidor técnico","Muy alta","https://face-consultants.de/","Especializado en ensayo y control de suelos"
"Contratista","Rectificado VNA","Concrete Grinding Ltd","Reino Unido / global","Especialista en rectificado correctivo","Benchmark de automatización y superflat","Muy alta","https://concrete-grinding.com/","Empresa del ecosistema CoGri"
"Contratista","Reparación y acabado","CG Flooring Systems","Europa","Contratista especializado","Benchmark de rehabilitación europea","Alta","https://cg-flooring.com/","Empresa del ecosistema CoGri"
"Contratista","Nueva solera","Twintec","Europa / global","Diseño y ejecución de soleras","Competidor en nueva construcción; posible socio","Alta","https://www.twintecgroup.com/","Especialista internacional en losas industriales"
"Contratista","Nueva solera","RCR Industrial Flooring","Europa / global","Grupo de pavimentos industriales","Competidor/benchmark de gran escala","Alta","https://www.rcrindustrialflooring.com/","Especialista internacional"
"Contratista","Nueva solera","Primekss","Europa / global","Sistema de losa industrial","Competidor/partner de nueva construcción","Alta","https://primekss.com/","Sistema y ejecución de suelos industriales"
"Contratista y fabricante","Sistemas industriales","RINOL","Europa / global","Grupo de sistemas y aplicadores","Competidor/partner y benchmark de red","Alta","https://www.rinol.com/","Cartera internacional de pavimentos industriales"
"Fabricante","Densificadores","PROSOCO","Global / Europa","Química para hormigón","Proveedor potencial y referencia técnica","Alta","https://prosoco.com/products/concrete-flooring/hardeners-densifiers/","Publica endurecedores y densificadores"
"Fabricante","Densificadores","Curecrete","Global / Europa","Fabricante de Ashford Formula y RetroPlate","Proveedor potencial y benchmark de sistema","Alta","https://curecrete.com/","Cartera de tratamiento de hormigón"
"Fabricante","Densificadores","Convergent Concrete Technologies","Global / Europa","Fabricante de la gama Pentra","Proveedor potencial","Media","https://www.convergent-group.com/products/densifiers-cures/","Publica densificadores y curadores"
